iso2,iso3,countryCode,callingCode,currencyCode
AF,AFG,004,+93,AFN
AX,ALA,248,+358,EUR
AL,ALB,008,+355,ALL
DZ,DZA,012,+213,DZD
AS,ASM,016,+1,USD
AD,AND,020,+376,EUR
AO,AGO,024,+244,AOA
AI,AIA,660,+1,XCD
AQ,ATA,010,+672,
AG,ATG,028,+1,XCD
AR,ARG,032,+54,ARS
AM,ARM,051,+374,AMD
AW,ABW,533,+297,AWG
AU,AUS,036,+61,AUD
AT,AUT,040,+43,EUR
AZ,AZE,031,+994,AZN
BS,BHS,044,+1,BSD
BH,BHR,048,+973,BHD
BD,BGD,050,+880,BDT
BB,BRB,052,+1,BBD
BY,BLR,112,+375,BYN
BE,BEL,056,+32,EUR
BZ,BLZ,084,+501,BZD
BJ,BEN,204,+229,XOF
BM,BMU,060,+1,BMD
BT,BTN,064,+975,BTN
BO,BOL,068,+591,BOB
BQ,BES,535,+599,USD
BA,BIH,070,+387,BAM
BW,BWA,072,+267,BWP
BV,BVT,074,+47,NOK
BR,BRA,076,+55,BRL
IO,IOT,086,+246,USD
BN,BRN,096,+673,BND
BG,BGR,100,+359,EUR
BF,BFA,854,+226,XOF
BI,BDI,108,+257,BIF
KH,KHM,116,+855,KHR
CM,CMR,120,+237,XAF
CA,CAN,124,+1,CAD
CV,CPV,132,+238,CVE
KY,CYM,136,+1,KYD
CF,CAF,140,+236,XAF
TD,TCD,148,+235,XAF
CL,CHL,152,+56,CLP
CN,CHN,156,+86,CNY
CX,CXR,162,+61,AUD
CC,CCK,166,+61,AUD
CO,COL,170,+57,COP
KM,COM,174,+269,KMF
CG,COG,178,+242,XAF
CD,COD,180,+243,CDF
CK,COK,184,+682,NZD
CR,CRI,188,+506,CRC
CI,CIV,384,+225,XOF
HR,HRV,191,+385,EUR
CU,CUB,192,+53,CUP
CW,CUW,531,+599,XCG
CY,CYP,196,+357,EUR
CZ,CZE,203,+420,CZK
DK,DNK,208,+45,DKK
DJ,DJI,262,+253,DJF
DM,DMA,212,+1,XCD
DO,DOM,214,+1,DOP
EC,ECU,218,+593,USD
EG,EGY,818,+20,EGP
SV,SLV,222,+503,USD
GQ,GNQ,226,+240,XAF
ER,ERI,232,+291,ERN
EE,EST,233,+372,EUR
ET,ETH,231,+251,ETB
FK,FLK,238,+500,FKP
FO,FRO,234,+298,DKK
FJ,FJI,242,+679,FJD
FI,FIN,246,+358,EUR
FR,FRA,250,+33,EUR
GF,GUF,254,+594,EUR
PF,PYF,258,+689,XPF
TF,ATF,260,+262,EUR
GA,GAB,266,+241,XAF
GM,GMB,270,+220,GMD
GE,GEO,268,+995,GEL
DE,DEU,276,+49,EUR
GH,GHA,288,+233,GHS
GI,GIB,292,+350,GIP
GR,GRC,300,+30,EUR
GL,GRL,304,+299,DKK
GD,GRD,308,+1,XCD
GP,GLP,312,+590,EUR
GU,GUM,316,+1,USD
GT,GTM,320,+502,GTQ
GG,GGY,831,+44,GBP
GN,GIN,324,+224,GNF
GW,GNB,624,+245,XOF
GY,GUY,328,+592,GYD
HT,HTI,332,+509,HTG
HM,HMD,334,+672,AUD
VA,VAT,336,+379,EUR
HN,HND,340,+504,HNL
HK,HKG,344,+852,HKD
HU,HUN,348,+36,HUF
IS,ISL,352,+354,ISK
IN,IND,356,+91,INR
ID,IDN,360,+62,IDR
IR,IRN,364,+98,IRR
IQ,IRQ,368,+964,IQD
IE,IRL,372,+353,EUR
IM,IMN,833,+44,GBP
IL,ISR,376,+972,ILS
IT,ITA,380,+39,EUR
JM,JAM,388,+1,JMD
JP,JPN,392,+81,JPY
JE,JEY,832,+44,GBP
JO,JOR,400,+962,JOD
KZ,KAZ,398,+7,KZT
KE,KEN,404,+254,KES
KI,KIR,296,+686,AUD
KP,PRK,408,+850,KPW
KR,KOR,410,+82,KRW
KW,KWT,414,+965,KWD
KG,KGZ,417,+996,KGS
LA,LAO,418,+856,LAK
LV,LVA,428,+371,EUR
LB,LBN,422,+961,LBP
LS,LSO,426,+266,LSL
LR,LBR,430,+231,LRD
LY,LBY,434,+218,LYD
LI,LIE,438,+423,CHF
LT,LTU,440,+370,EUR
LU,LUX,442,+352,EUR
MO,MAC,446,+853,MOP
MK,MKD,807,+389,MKD
MG,MDG,450,+261,MGA
MW,MWI,454,+265,MWK
MY,MYS,458,+60,MYR
MV,MDV,462,+960,MVR
ML,MLI,466,+223,XOF
MT,MLT,470,+356,EUR
MH,MHL,584,+692,USD
MQ,MTQ,474,+596,EUR
MR,MRT,478,+222,MRU
MU,MUS,480,+230,MUR
YT,MYT,175,+262,EUR
MX,MEX,484,+52,MXN
FM,FSM,583,+691,USD
MD,MDA,498,+373,MDL
MC,MCO,492,+377,EUR
MN,MNG,496,+976,MNT
ME,MNE,499,+382,EUR
MS,MSR,500,+1,XCD
MA,MAR,504,+212,MAD
MZ,MOZ,508,+258,MZN
MM,MMR,104,+95,MMK
NA,NAM,516,+264,NAD
NR,NRU,520,+674,AUD
NP,NPL,524,+977,NPR
NL,NLD,528,+31,EUR
NC,NCL,540,+687,XPF
NZ,NZL,554,+64,NZD
NI,NIC,558,+505,NIO
NE,NER,562,+227,XOF
NG,NGA,566,+234,NGN
NU,NIU,570,+683,NZD
NF,NFK,574,+672,AUD
MP,MNP,580,+1,USD
NO,NOR,578,+47,NOK
OM,OMN,512,+968,OMR
PK,PAK,586,+92,PKR
PW,PLW,585,+680,USD
PS,PSE,275,+970,ILS
PA,PAN,591,+507,PAB
PG,PNG,598,+675,PGK
PY,PRY,600,+595,PYG
PE,PER,604,+51,PEN
PH,PHL,608,+63,PHP
PN,PCN,612,+64,NZD
PL,POL,616,+48,PLN
PT,PRT,620,+351,EUR
PR,PRI,630,+1,USD
QA,QAT,634,+974,QAR
RE,REU,638,+262,EUR
RO,ROU,642,+40,RON
RU,RUS,643,+7,RUB
RW,RWA,646,+250,RWF
BL,BLM,652,+590,EUR
